OBJECTID,CT20,LABEL,Population Density (Pop Per Square Mile),Total Population,Median Household Income,Median Home Value,Percent White Population,Percent Black Population,Percent Asian Population,Percent Hispanic Population,Percent Owner Occupied Housing Units,Percent Population With Higher Education,Number of Permits,Mean Year Built of Retrofitted Residences,Mean Building Age (All Residences),Mean Year Built of All 1 or 2 Family Dwellings,Number of 1 or 2 Family Dwellings,Mean Year Built of All 1 or 2 Family Dwellings Built Before 1980,Number of 1 or 2 Family Dwellings Built Before 1980,Normalized Permit Count (Method 2),Permits Per 1000 Residences (Method 2- Overall),Transformed Permit Count (Method 2- Overall),Number of 1 or 2 Family Dwellings Built Before 1940,Percent of 1 or 2 Family Dwellings Built Before 1940,Corresponding Zip Code,EBB Program Identifier (2021),EBB Program Identifier (2022),CenterLat,CenterLong,SS,Permits Per 1000 Residences (Method 2- Pre 2013),Transformed Permit Count (Method 2- Pre 2013),Permits Per 1000 Residences (Method 2- 2013 Onwards),Transformed Permit Count (Method 2- 2013 Onwards)
1,101110,1011.1,10998,4851,75354,617895,61.12,1.44,9.34,28.51,50.67,37.4,2,1935.5,71.55925,1950.44075,1173,1942.21131,1008,0.001984,1.984,1.093307,379,32.310315,91042,1,1,34.259479,-118.292999,2.014,1.984127,1.093307236,0,0
2,101122,1011.22,3600.9,3676,106365,664960,72.06,0.79,11.37,14.83,81.93,47.72,1,1905,58.345605,1963.654395,1332,1956.415751,1092,0.000916,0.916,0.65011,132,9.90991,91042,1,1,34.267726,-118.290159,2.026,0,0,0.915751,0.65011
3,101220,1012.2,12207.3,3294,49215,605592,55.65,1.15,11.17,32.85,39.61,35.68,1,2017,68.611111,1953.388889,666,1940.440154,518,0.001931,1.931,1.075174,240,36.036036,91042,1,1,34.251613,-118.281645,1.984,1.930502,1.075173716,0,0
4,101221,1012.21,25192.3,3445,53384,650210,57.3,2.44,7.58,34.66,17.23,39.28,2,1923,52.686217,1969.313783,342,1947.823864,176,0.011364,11.364,2.51476,73,21.345029,91042,1,1,34.254334,-118.292589,2.003,11.363636,2.514759613,0,0
5,101222,1012.22,24204.5,2771,37917,520548,54.13,3.25,5.52,37.68,16.01,38.55,0,,42.610329,1979.389671,216,1945.111111,54,0,0,0,19,8.796296,91042,1,1,34.251357,-118.288538,1.992,0,0,0,0
6,101300,1013,4232.6,4217,102502,688530,77.52,0.62,8.75,11.64,87.58,47.02,8,1945.142857,62.940026,1959.059974,1537,1953.040832,1298,0.006163,6.163,1.968975,147,9.564086,91042,1,1,34.248783,-118.271011,1.97,4.622496,1.72677572,1.540832,0.932492
7,101400,1014,1588.1,3869,93469,684267,68.52,1.06,8.74,19.2,71.79,48.03,1,1924,64.710111,1957.289889,1270,1951.17963,1080,0.000926,0.926,0.655407,234,18.425197,91042,1,1,34.242857,-118.294174,1.994,0.925926,0.655406853,0,0
8,102103,1021.03,4531.8,2076,91515,678285,69.56,2.22,7.42,20.28,66.88,49.5,0,,63.205592,1958.794408,608,1955.118584,565,0,0,0,1,0.164474,91352,1,1,34.225084,-118.3542,2.061,0,0,0,0
9,102104,1021.04,6043.4,3870,99077,728814,72.22,2.12,10.78,14.42,72.59,54.63,0,,50.287946,1971.712054,1344,1970.476301,1287,0,0,0,0,0,91352,1,1,34.216192,-118.34541,2.022,0,0,0,0
10,102105,1021.05,9613.4,1829,73097,632994,37.29,1.37,10.01,55.99,51.35,38.19,1,1943,75.515892,1946.484108,409,1945.809406,404,0.002475,2.475,1.245666,21,5.134474,91505,1,1,34.209881,-118.349278,2.007,2.475248,1.245665707,0,0
11,102107,1021.07,792.7,3955,121016,825150,62.88,2.23,6.4,29.25,73.64,51.67,2,1954,60.116682,1961.883318,1104,1952.602579,853,0.002345,2.345,1.207367,156,14.130435,91352,1,1,34.240478,-118.33802,2.072,1.172333,0.775801679,1.172333,0.775802
12,103101,1031.01,3373.7,2644,106885,635548,71.97,0.91,7.56,19.4,85.95,55.53,0,,62.701973,1959.298027,964,1954.023725,843,0,0,0,49,5.082988,91040,1,1,34.273246,-118.3079,2.086,0,0,0,0
13,103102,1031.02,10036.4,4809,90164,630559,66.52,0.5,9.75,22.96,75.81,38.72,3,1943,67.606258,1954.393742,1536,1949.004396,1365,0.002198,2.198,1.162464,284,18.489583,91040,1,1,34.263389,-118.3074,2.057,0.732601,0.549623593,1.465201,0.902274
14,103201,1032.01,6114.6,4615,88506,609603,55.47,2.49,6.41,36.71,50.83,40.03,2,1943,63.133558,1958.866442,892,1954.121951,779,0.002567,2.567,1.271835,59,6.61435,91040,1,1,34.26565,-118.323639,2.113,2.567394,1.271835384,0,0
15,103202,1032.02,1095.4,2004,109926,809874,52.25,6.44,6.79,34.83,80.83,33.11,1,1958,62.36646,1959.63354,645,1957.142857,609,0.001642,1.642,0.97155,36,5.581395,91342,1,1,34.27494,-118.343512,2.22,0,0,1.642036,0.97155
16,103300,1033,1645,3901,135843,857479,69.65,1.33,6.28,22.2,86.09,58.79,4,1951.5,60.356009,1961.643991,1326,1951.657738,1008,0.003968,3.968,1.603068,136,10.25641,91040,1,1,34.257383,-118.35549,2.18,2.97619,1.380324194,0.992063,0.689171
17,103401,1034.01,4602.9,2491,112060,795161,66.68,1.49,10.44,21.4,64.27,54.37,3,1941.666667,57.58773,1964.41227,817,1959.225519,674,0.004451,4.451,1.695806,70,8.567931,91040,1,1,34.253974,-118.318397,2.059,1.48368,0.90974114,2.967359,1.378101
18,103402,1034.02,9190.1,3900,90585,673077,61.9,1.49,7.41,29.82,62.34,44.03,1,1950,70.102868,1951.897132,1011,1947.499456,919,0.001088,1.088,0.736273,180,17.804154,91040,1,1,34.255945,-118.30836,2.039,1.088139,0.736273374,0,0
19,104103,1041.03,10266,3762,102376,565436,17.17,10.13,6.99,69.91,82.79,32.94,0,,51.440244,1970.559756,820,1962.508711,574,0,0,0,3,0.365854,91342,1,1,34.282104,-118.392589,2.464,0,0,0,0
20,104105,1041.05,26193,5913,58807,565608,16.54,4.89,7.29,80.33,52.37,28.91,0,,33.133487,1988.866513,869,1962.990385,104,0,0,0,7,0.805524,91331,1,1,34.276153,-118.404698,2.473,0,0,0,0
21,104108,1041.08,12479.5,5284,61334,432963,14.97,8.42,4.09,81.89,40.67,23.38,1,1957,55.916399,1966.083601,622,1958.591753,485,0.002062,2.062,1.119021,3,0.482315,91331,1,1,34.273155,-118.398582,2.442,2.061856,1.11902116,0,0
22,104124,1041.24,2641.8,4570,100431,595312,38.99,8.71,6.24,50.24,82.82,43.7,0,,54.06428,1967.93572,1229,1953.954839,775,0,0,0,119,9.682669,91342,1,1,34.287288,-118.374843,2.413,0,0,0,0
23,104201,1042.01,10532.5,4433,69592,522232,11.12,7.22,1.6,88.7,69.55,11.39,0,,64.194263,1957.805737,767,1954.948895,724,0,0,0,32,4.172099,91340,1,1,34.286505,-118.416112,2.553,0,0,0,0
24,104203,1042.03,17907.1,4895,59478,465238,13.16,4.39,2.31,90.05,47.9,16.57,0,,53.693732,1968.306268,702,1956.567742,465,0,0,0,5,0.712251,91331,1,1,34.279063,-118.411566,2.502,0,0,0,0
25,104204,1042.04,3282.8,3377,80237,410619,17.65,5.72,7.37,76.7,66.49,17.42,0,,42.576744,1979.423256,430,1958.444444,207,0,0,0,9,2.093023,91342,1,1,34.289354,-118.395452,2.493,0,0,0,0
26,104310,1043.1,7579.6,4415,90715,476937,13.2,2.58,0.77,94.59,73.67,12.21,0,,66.957708,1955.042292,733,1952.419971,681,0,0,0,54,7.366985,91340,1,1,34.276378,-118.429293,2.519,0,0,0,0
27,104321,1043.21,15095.8,3030,52570,497778,12.15,3.17,3.3,91.42,31.28,11.03,0,,70.302273,1951.697727,440,1945.761039,385,0,0,0,97,22.045455,91331,1,1,34.271663,-118.418096,2.472,0,0,0,0
28,104322,1043.22,8395,2244,78740,463136,12.48,4.95,1.65,90.24,69.26,19.85,0,,68.407609,1953.592391,368,1951.847025,353,0,0,0,16,4.347826,91331,1,1,34.274244,-118.421887,2.493,0,0,0,0
29,104401,1044.01,11426.7,3005,80942,467907,13.31,0.73,0.57,95.14,62.89,12,0,,73.420945,1948.579055,487,1947.517895,475,0,0,0,71,14.579055,91331,1,1,34.267044,-118.432734,2.471,0,0,0,0
30,104403,1044.03,10855.8,2905,76458,461326,13.18,0.52,2.82,94.11,65.53,16.54,0,,69.400835,1952.599165,479,1947.243678,435,0,0,0,36,7.515658,91331,1,1,34.2588,-118.434506,2.427,0,0,0,0
31,104404,1044.04,14619.8,3046,65809,520270,16.64,0.89,1.05,94.55,46.02,14.03,0,,72.738462,1949.261538,390,1946.787062,371,0,0,0,38,9.74359,91331,1,1,34.263926,-118.428704,2.446,0,0,0,0
32,104500,1045,15100.9,3096,75511,496944,18.15,0.65,1.68,93.8,74.15,19.25,0,,74.117021,1947.882979,470,1947.698718,468,0,0,0,57,12.12766,91331,1,1,34.255516,-118.42576,2.395,0,0,0,0
33,104610,1046.1,15405.1,3522,65438,463604,17.77,1.5,1.08,91.94,61.84,7.9,0,,75.738149,1946.261851,443,1944.261176,425,0,0,0,121,27.31377,91331,1,1,34.26044,-118.419005,2.397,0,0,0,0
34,104620,1046.2,15062,3089,66320,544872,17.09,0.52,1,96.63,60.73,13.53,0,,73.037367,1948.962633,562,1947.577982,545,0,0,0,62,11.032028,91331,1,1,34.257909,-118.422477,2.403,0,0,0,0
35,104701,1047.01,20254.1,4305,32464,482353,19.28,3.09,1.07,94.33,15.99,9.59,1,1953,72.389706,1949.610294,272,1946.831373,255,0.003922,3.922,1.593627,55,20.220588,91331,1,1,34.268479,-118.415226,2.449,3.921569,1.593627306,0,0
36,104703,1047.03,5358.5,2417,52584,558140,17.13,4.05,4.43,84.53,35.71,16.79,0,,60.222222,1961.777778,199,1944.312925,147,0,0,0,49,24.623116,91331,1,1,34.25523,-118.400601,2.342,0,0,0,0
37,104704,1047.04,7334.9,4710,65952,239754,19.36,8.83,5.35,78.96,62.96,23.55,0,,41.512048,1980.487952,664,1970.284173,278,0,0,0,0,0,91331,1,1,34.262535,-118.408874,2.347,0,0,0,0
38,104821,1048.21,16558.7,3400,79711,580440,14.97,1.59,4.03,90.38,56.82,14.49,0,,69.806701,1952.193299,388,1951.350785,382,0,0,0,12,3.092784,91331,1,1,34.246575,-118.416308,2.214,0,0,0,0
39,104822,1048.22,9921.1,2315,70147,554389,11.27,0.99,7,87.26,36.2,14.47,0,,59.244635,1962.755365,233,1953.678756,193,0,0,0,4,1.716738,91331,1,1,34.245875,-118.420957,2.237,0,0,0,0
40,104823,1048.23,14189.7,2911,84873,479282,17.42,1.24,13.36,78.6,71.88,8.86,1,1950,56.545763,1965.454237,590,1952.258696,460,0.002174,2.174,1.154965,22,3.728814,91331,1,1,34.24897,-118.413022,2.224,2.173913,1.154965225,0,0
41,104824,1048.24,9519.5,2176,74866,553756,16.68,0.92,2.02,92.65,75.84,18.82,0,,71.703125,1950.296875,384,1949.746702,379,0,0,0,34,8.854167,91331,1,1,34.251502,-118.409549,2.221,0,0,0,0
42,106010,1060.1,3457.4,3361,96498,636128,26.21,3.66,6.19,70.4,75.13,36.36,2,1968.5,47.65233,1974.34767,837,1966.435233,579,0.003454,3.454,1.493855,6,0.716846,91342,1,1,34.325346,-118.443416,2.648,0,0,3.454231,1.493855
43,106020,1060.2,7046.4,5490,94752,615304,25.19,1.62,4.01,78.87,82.41,33.57,0,,57.609137,1964.390863,1379,1957.291058,1096,0,0,0,33,2.393038,91342,1,1,34.321282,-118.428392,2.62,0,0,0,0
44,106111,1061.11,3983.6,4286,108044,546477,31.43,3.48,8.33,62.55,88.43,46.57,0,,48.188857,1973.811143,1060,1966.110828,785,0,0,0,0,0,91342,1,1,34.318912,-118.40991,2.583,0,0,0,0
45,106112,1061.12,4936.2,6153,108491,614856,23.16,2.58,9.12,71.9,84.31,40.32,0,,52.606613,1969.393387,1482,1956.666667,1026,0,0,0,4,0.269906,91342,1,1,34.305547,-118.412407,2.614,0,0,0,0
46,106113,1061.13,7184.4,4004,109591,627404,24.55,2.57,7.57,76.25,80.8,31.72,0,,47.911912,1974.088088,999,1959.93646,661,0,0,0,14,1.401401,91342,1,1,34.30616,-118.42222,2.634,0,0,0,0
47,106114,1061.14,17154.9,6719,65510,560859,16.56,3.68,7.04,80.79,45.67,20.78,1,1924,42.783831,1979.216169,1138,1949.472477,436,0.002294,2.294,1.191975,65,5.711775,91340,1,1,34.302731,-118.427002,2.651,2.293578,1.191974506,0,0
48,106403,1064.03,8543.2,3647,72312,606597,16.84,0.55,2.63,88.79,84.31,14.13,0,,68.504459,1953.495541,785,1951.915119,754,0,0,0,47,5.987261,91342,1,1,34.306024,-118.441287,2.677,0,0,0,0
49,106405,1064.05,8797.4,3980,65350,621245,20.33,4.35,4.47,79.57,39.1,13.95,0,,44.015476,1977.984524,840,1951.328571,210,0,0,0,22,2.619048,91342,1,1,34.314691,-118.448298,2.678,0,0,0,0
50,106406,1064.06,7834,6091,94682,617463,25.25,2.94,6.9,72.81,76.14,30.96,0,,46.614535,1975.385465,1087,1960.061728,648,0,0,0,23,2.115915,91342,1,1,34.322246,-118.45985,2.685,0,0,0,0
51,106407,1064.07,31998.9,2868,41213,295690,19.67,7.25,3.38,79.46,24.25,19.35,0,,41.418052,1980.581948,421,1969.311475,122,0,0,0,0,0,91342,1,1,34.310579,-118.436569,2.658,0,0,0,0
52,106408,1064.08,38600.3,3414,60928,480612,15.06,2.28,3.34,87.73,16.67,20.91,0,,36.081633,1985.918367,245,1970.772727,22,0,0,0,1,0.408163,91342,1,1,34.313268,-118.440089,2.661,0,0,0,0
53,106510,1065.1,2561.6,5727,107491,622219,25.11,5.17,8.21,67.96,66.69,46.08,0,,36.431818,1985.568182,1013,1964.962865,377,0,0,0,23,2.270484,91342,1,1,34.32359,-118.484851,2.725,0,0,0,0
54,106520,1065.2,6501.2,5537,86247,508858,22.43,1.32,1.81,87.72,67.09,16.2,1,1957,61.324215,1960.675785,987,1954.32266,812,0.001232,1.232,0.802686,28,2.836879,91342,1,1,34.308862,-118.461365,2.708,1.231527,0.802686146,0,0
55,106603,1066.03,744.8,2968,147553,729353,58.42,2.93,19.88,16.71,86.42,66.3,0,,47.598377,1974.401623,986,1970.317308,728,0,0,0,0,0,91344,1,1,34.312637,-118.52046,2.729,0,0,0,0
56,106604,1066.04,5284,5346,77772,644185,19.66,3.78,4.4,82.29,50.16,23.58,0,,57.002548,1964.997452,786,1956.781046,612,0,0,0,43,5.470738,91342,1,1,34.304437,-118.473696,2.733,0,0,0,0
57,106641,1066.41,5237.1,2296,139697,726626,67.55,1.66,17.12,12.8,90.61,63.2,0,,55.461245,1966.538755,787,1966.356777,782,0,0,0,0,0,91344,1,1,34.298474,-118.508445,2.708,0,0,0,0
58,106642,1066.42,5391.5,3284,129206,678252,57.43,2.92,13.76,25.79,92.12,57.01,0,,60.192558,1961.807442,1075,1960.21001,1019,0,0,0,1,0.093023,91344,1,1,34.286328,-118.507026,2.64,0,0,0,0
59,106643,1066.43,2405,4029,166132,969203,63.44,3.52,17.97,13.2,88.01,69.25,0,,40.316182,1981.683818,1341,1966.393673,569,0,0,0,14,1.043997,91344,1,1,34.289471,-118.522048,2.645,0,0,0,0
60,106645,1066.45,3546,3461,128927,773250,63.51,2.89,14.01,18.17,90.24,55.58,0,,58.753128,1963.246872,1199,1962.969773,1191,0,0,0,0,0,91344,1,1,34.290568,-118.494185,2.684,0,0,0,0
61,106646,1066.46,5844.2,3331,122803,621650,44.58,3.03,21.59,32.96,89.78,55.18,0,,61.318602,1960.681398,973,1958.471101,917,0,0,0,1,0.102775,91344,1,1,34.279743,-118.493957,2.591,0,0,0,0
62,106648,1066.48,15796.2,4836,75032,616289,16.67,2.71,3.21,86.66,47.23,15.11,0,,55.218807,1966.781193,553,1957.37013,462,0,0,0,8,1.446655,91342,1,1,34.293103,-118.455847,2.668,0,0,0,0
63,106649,1066.49,5917.1,2542,100102,618499,17.98,2.32,19.28,66.8,77.29,36.63,0,,43.364035,1978.635965,684,1955.241259,286,0,0,0,2,0.292398,91342,1,1,34.289255,-118.460668,2.646,0,0,0,0
64,107010,1070.1,11927.3,3153,75923,581540,17.09,0.76,2.16,91.66,75.38,20.22,2,1955.5,66.110754,1955.889246,623,1954.161616,594,0.003367,3.367,1.474077,14,2.247191,91342,1,1,34.302085,-118.446733,2.696,1.683502,0.98712254,1.683502,0.987123
65,107020,1070.2,14287.2,5483,95612,542812,18.55,1.39,6.93,84.48,72.61,31.35,1,1949,51.739289,1970.260711,1100,1949.551555,611,0.001637,1.637,0.969513,36,3.272727,91342,1,1,34.29756,-118.450494,2.691,1.636661,0.969513424,0,0
66,108101,1081.01,5271.2,2297,154777,786193,56.12,3.27,25.82,11.36,82.71,62.77,0,,50.553191,1971.446809,799,1971.170051,788,0,0,0,0,0,91326,0,0,34.279311,-118.541665,2.525,0,0,0,0
67,108102,1081.02,4497.3,3792,112465,826155,50.71,2.06,33.65,13.26,84.81,73.73,1,1970,46.889322,1975.110678,1283,1973.509305,1021,0.000979,0.979,0.68281,0,0,91326,0,0,34.280463,-118.555079,2.462,0,0,0.979432,0.68281
68,108103,1081.03,3179.8,3149,164698,907434,57.99,1.43,26.58,12.42,89.57,68.13,1,1979,42.83427,1979.16573,1068,1975.226754,613,0.001631,1.631,0.967486,0,0,91326,0,0,34.286431,-118.540012,2.591,1.631321,0.967486142,0,0
69,108104,1081.04,5245.7,1673,160085,790378,56.43,2.69,25.52,11.84,86.12,69.4,0,,53.211966,1968.788034,585,1968.400353,567,0,0,0,0,0,91326,0,0,34.294318,-118.546021,2.653,0,0,0,0
70,108202,1082.02,4511.5,10415,137923,862945,33.87,4.54,47.08,10.92,68.22,72.07,1,2003,12.745769,2009.254231,2718,,0,,,,0,0,91326,0,0,34.28674,-118.581619,2.305,<Null>,<Null>,<Null>,<Null>
71,108203,1082.03,6671.4,3535,137278,741859,40.17,3.88,44.3,9.45,77.03,72.25,0,,33.0104,1988.9896,1250,,0,,,,0,0,91326,0,0,34.293088,-118.561667,2.584,<Null>,<Null>,<Null>,<Null>
72,108204,1082.04,3310,1831,181751,841640,34.68,2.84,52.27,7.7,83.36,82.45,0,,23.170245,1998.829755,652,,0,,,,0,0,91326,0,0,34.280911,-118.566716,2.336,<Null>,<Null>,<Null>,<Null>
73,109100,1091,2935.6,3067,80930,533898,35.64,2.71,10.14,57.25,77.33,24.99,0,,63.282474,1958.717526,485,1958.298319,476,0,0,0,1,0.206186,91345,1,1,34.277167,-118.463172,2.565,0,0,0,0
74,109200,1092,8081.2,3173,120060,570809,35.46,4.7,20.61,41.76,79.68,56.08,1,1955,55.723214,1966.276786,896,1961.644444,810,0.001235,1.235,0.804048,1,0.111607,91344,1,1,34.277434,-118.474503,2.568,1.234568,0.804047877,0,0
75,109300,1093,6553.3,3120,104475,619771,34.52,3.72,16.06,50.9,80.47,42.18,1,1954,65.788591,1956.211409,894,1955.408419,879,0.001138,1.138,0.75971,2,0.223714,91344,1,1,34.271203,-118.480446,2.522,1.137656,0.759710102,0,0
76,109400,1094,7028.6,3503,89815,502143,23.58,2.2,8.74,76.62,73.2,30,1,1952,62.551637,1959.448363,794,1952.372932,665,0.001504,1.504,0.917793,64,8.060453,91345,1,1,34.26872,-118.455713,2.51,1.503759,0.917793362,0,0
77,109500,1095,9520.8,4391,53420,600379,14.32,1.39,3.19,90.48,55.12,16.37,1,1953,63.335656,1958.664344,862,1947.220339,649,0.001541,1.541,0.932492,158,18.329466,91340,1,1,34.270868,-118.444403,2.514,1.540832,0.932491606,0,0
78,109601,1096.01,5691.8,4940,102983,608379,22.21,2.94,10.16,72.91,85.28,31.8,0,,65.633106,1956.366894,1172,1955.091549,1136,0,0,0,6,0.511945,91345,1,1,34.25863,-118.451462,2.45,0,0,0,0
79,109603,1096.03,10931.5,4216,69596,603448,24.69,3.34,12.76,65.54,60.05,32.71,0,,63.60302,1958.39698,927,1956.679458,886,0,0,0,21,2.265372,91345,1,1,34.253657,-118.465428,2.408,0,0,0,0
80,109604,1096.04,6377.6,2893,102553,607673,27.55,3.04,9.75,67.3,79.93,39.86,0,,65.916021,1956.083979,774,1952.918248,685,0,0,0,5,0.645995,91345,1,1,34.261549,-118.465364,2.459,0,0,0,0
81,109700,1097,7418.1,4545,106451,607955,38.99,2.51,17.71,42.62,84.47,58,1,1953,61.713763,1960.286237,1366,1959.331334,1334,0.00075,0.75,0.559402,3,0.219619,91344,1,1,34.261939,-118.4809,2.382,0.749625,0.559401586,0,0
82,109800,1098,8556.2,4623,113085,617188,34.96,2.44,17.26,48.99,75.21,41.13,0,,66.588327,1955.411673,1285,1954.185393,1246,0,0,0,16,1.245136,91343,0,1,34.253716,-118.48161,2.286,0,0,0,0
83,111100,1111,7369.6,3014,102714,604724,40.58,2.22,16.76,43.5,78.41,44.31,0,,66.755245,1955.244755,858,1955.104094,855,0,0,0,0,0,91344,1,1,34.268315,-118.495082,2.497,0,0,0,0
84,111201,1112.01,4938.1,3647,113369,670284,50.73,2.39,15.52,32.74,88.85,54.03,0,,63.903139,1958.096861,1115,1956.381316,1049,0,0,0,11,0.986547,91344,1,1,34.274838,-118.510161,2.48,0,0,0,0
85,111202,1112.02,7682.5,5537,98405,635598,49.21,2.98,15.33,32.73,70.21,45.59,1,1927,66.340484,1955.659516,1446,1953.308824,1360,0.000735,0.735,0.551177,96,6.639004,91344,1,1,34.268448,-118.514839,2.314,0.735294,0.551176919,0,0
86,111204,1112.04,4532.7,5795,169129,847240,52.42,3.4,24.38,18.41,95.23,69.58,1,1959,51.265914,1970.734086,1948,1966.335408,1607,0.000622,0.622,0.483831,5,0.256674,91326,0,0,34.262054,-118.548895,2.191,0,0,0.622278,0.483831
87,111205,1112.05,8363.8,3743,96162,698429,38.02,5.05,35.72,22.23,54.8,65.97,0,,48.140127,1973.859873,1099,1971.096544,839,0,0,0,3,0.272975,91324,0,0,34.253509,-118.53528,2.114,0,0,0,0
88,111206,1112.06,4646.3,4705,139482,705827,50.05,2.53,19.7,27.33,91.49,54.12,4,1958.75,60.772455,1961.227545,1503,1960.625085,1467,0.002727,2.727,1.315511,1,0.066534,91326,0,0,34.267553,-118.53451,2.28,1.363327,0.860070168,1.363327,0.86007
89,111302,1113.02,7882.7,4726,84160,659879,42.7,5.23,21.69,29.73,51.09,53.84,1,1958,55.928161,1966.071839,1044,1961.531148,915,0.001093,1.093,0.738549,10,0.957854,91325,0,0,34.253956,-118.512855,2.19,1.092896,0.738548836,0,0
90,111303,1113.03,7265.4,4387,89397,621811,41.53,3.08,21.47,34.19,64.74,43.65,0,,59.690925,1962.309075,1113,1957.982049,947,0,0,0,22,1.97664,91344,1,1,34.261213,-118.512858,2.273,0,0,0,0
91,111304,1113.04,19740,3334,61179,336364,29.75,6.18,23.58,41.81,4.16,57.44,0,,49.902778,1972.097222,144,1972.097222,144,0,0,0,0,0,91344,1,1,34.260852,-118.526239,2.239,0,0,0,0
92,111401,1114.01,7331.4,2380,101663,622988,39.2,4.03,20.55,37.14,73.69,56.33,0,,61.382003,1960.617997,589,1959.543706,572,0,0,0,2,0.339559,91343,0,1,34.253934,-118.496704,2.246,0,0,0,0
93,111402,1114.02,14082.9,5281,54256,590753,42.15,3.92,17.19,38.52,29.15,29.04,3,1959.666667,60.129346,1961.870654,719,1958.1728,625,0.0048,4.8,1.757858,3,0.417246,91344,1,1,34.261177,-118.495753,2.34,1.6,0.955511445,3.2,1.435085
94,113101,1131.01,4002.6,3505,121142,710408,52.3,3.77,17.77,24.96,78.9,50.06,1,1962,54.418773,1967.581227,1110,1964.843496,984,0.001016,1.016,0.701244,44,3.963964,91311,0,1,34.264593,-118.586904,2.04,1.01626,0.701244391,0,0
95,113102,1131.02,2142.8,3037,187415,924900,60.29,3,18.34,18.41,94.52,65.99,1,1958,45.959615,1976.040385,1040,1969.404255,846,0.001182,1.182,0.780257,2,0.192308,91311,0,1,34.265302,-118.568596,2.158,1.182033,0.780257055,0,0
96,113211,1132.11,1526.9,4294,119268,811688,58.29,4.33,15.42,21.01,82.57,55.55,0,,44.058744,1977.941256,1481,1971.950939,958,0,0,0,15,1.012829,91311,0,1,34.266082,-118.615272,1.88,0,0,0,0
97,113212,1132.12,8323.5,3209,104518,633399,46.21,5.61,20.63,29.04,60.59,49.67,0,,52.420238,1969.579762,840,1966.128427,693,0,0,0,8,0.952381,91311,0,1,34.260688,-118.602439,1.888,0,0,0,0
98,113213,1132.13,9058.8,4550,100055,778756,43.05,6.22,21.93,29.45,60.75,55.24,0,,47.808383,1974.191617,1336,1971.683913,1063,0,0,0,11,0.823353,91311,0,1,34.253396,-118.607205,1.773,0,0,0,0
99,113231,1132.31,1398.5,2236,117322,740712,63.1,4.03,13.6,15.61,80.86,61.9,1,1973,53.307494,1968.692506,774,1963.567568,666,0.001502,1.502,0.916891,45,5.813953,91304,0,0,34.226662,-118.650672,1.5,1.501502,0.916891152,0,0
100,113232,1132.32,5608,4473,133348,666976,54.24,5.03,16.86,21.71,86.19,63.76,1,1964,51.010966,1970.989034,1459,1964.491686,1263,0.000792,0.792,0.583202,1,0.06854,91304,0,0,34.225831,-118.612557,1.558,0.791766,0.583201523,0,0
101,113234,1132.34,10849.6,4285,67575,549180,30.18,4.29,18.76,51.97,50.22,39.62,0,,47.133005,1974.866995,609,1961.835866,329,0,0,0,11,1.80624,91304,0,0,34.226178,-118.593884,1.605,0,0,0,0
103,113237,1132.37,2117.9,3882,114496,877901,48.04,7.24,17.31,26.76,64.19,49.43,0,,41.635028,1980.364972,885,1969.498227,564,0,0,0,18,2.033898,91311,0,1,34.244181,-118.612721,1.683,0,0,0,0
104,113238,1132.38,18338.6,5025,53144,457576,21.15,7.22,14.03,60.54,19.18,34.44,0,,56.087613,1965.912387,662,1962.099808,521,0,0,0,0,0,91304,0,0,34.22389,-118.601676,1.572,0,0,0,0
105,113239,1132.39,14195.4,2380,53455,549851,31.39,5.08,11.85,55.5,33.19,47.42,0,,20,2002,51,,0,,,,0,0,91304,0,0,34.231995,-118.600507,1.639,<Null>,<Null>,<Null>,<Null>
106,113301,1133.01,5101.1,4440,83260,887500,49.19,8.69,20.45,20.25,38.54,60.69,0,,42.824943,1979.175057,875,1964.308848,599,0,0,0,0,0,91324,0,0,34.244051,-118.558316,1.892,0,0,0,0
107,113303,1133.03,2936,4643,103635,576520,41.85,2.91,16.39,38.06,78.67,50.08,1,1958,63.660584,1958.339416,1096,1958.30411,1095,0.000913,0.913,0.648799,0,0,91311,0,1,34.24383,-118.578761,1.802,0,0,0.913242,0.648799
108,113322,1133.22,6395.1,4412,110664,666417,47.89,4.58,22.14,24.39,82.28,59.31,1,1968,52.914244,1969.085756,1376,1967.428453,1202,0.000832,0.832,0.605379,0,0,91311,0,1,34.253683,-118.572149,1.978,0.831947,0.605379202,0,0
109,113323,1133.23,13924.4,3892,85791,420909,33.12,5.94,23.46,38.98,26.85,51.93,0,,43.713514,1978.286486,740,1967.064777,247,0,0,0,2,0.27027,91311,0,1,34.25356,-118.593455,1.848,0,0,0,0
110,113324,1133.24,16508.9,2068,79185,526316,29.79,7.93,21.37,42.31,17.12,57.01,0,,47.349462,1974.650538,186,1965.564516,124,0,0,0,1,0.537634,91311,0,1,34.253618,-118.586385,1.893,0,0,0,0
111,113423,1134.23,9344.3,2564,86154,624674,32.45,2.81,22.43,46.37,68.8,59.68,0,,54.114731,1967.885269,706,1958.796296,540,0,0,0,7,0.991501,91306,0,0,34.224247,-118.566693,1.63,0,0,0,0
112,113424,1134.24,5106.7,3433,100826,627575,39.38,5.36,19.63,36.76,67.86,54.57,2,1957,66.110329,1955.889671,852,1955.540284,844,0.00237,2.37,1.214814,8,0.938967,91324,0,0,34.22845,-118.561079,1.67,1.184834,0.78153991,1.184834,0.78154
