OBJECTID,Neighborhood Name,Region,Total Population,Median Household Income,Median Home Value,Percent White Population,Percent Black Population,Percent Asian Population,Percent Hispanic Population,Percent Owner Occupied Housing Units,Percent Population With Higher Education,Number of Permits,Mean Year Built of Retrofitted Residences,Mean Building Age (All Residences),Mean Year Built of All 1 or 2 Family Dwellings,Number of 1 or 2 Family Dwellings,Mean Year Built of All 1 or 2 Family Dwellings Built Before 1980,Number of 1 or 2 Family Dwellings Built Before 1980,Normalized Permit Count (Method 2),Permits Per 1000 Residences (Method 2- Overall),Transformed Permit Count (Method 2- Overall),Number of 1 or 2 Family Dwellings Built Before 1940,Percent of 1 or 2 Family Dwellings Built Before 1940,Permits Per 1000 Residences (Method 2- Pre 2013),Transformed Permit Count (Method 2- Pre 2013),Permits Per 1000 Residences (Method 2- 2013 Onwards),Transformed Permit Count (Method 2- 2013 Onwards)
22,Cypress Park,Northeast LA and the Eastside,7808,60965,648230,18.28,1.19,7.95,80.15,36.81,28.77,23,1915.478261,101.996516,1920.003484,1155,1927.192171,1124,0.020426,20.426,3.064619,1071,92.727273,5.328597,1.845079,15.097691,2.778676
23,Del Rey,Westside,30819,96908,919232,45.27,4.73,14.45,34.19,39.99,58.71,20,1939.3,56.273943,1965.726057,7029,1961.957135,5459,0.003662,3.662,1.539516,519,7.383696,2.74675,1.320889,0.915583,0.650022
24,Downtown,Central LA,72902,79701,743159,33.47,17,23.93,24.48,13.13,61.57,1,,53.71669,1968.28331,6359,1980.868807,3616,0.000277,0.277,0.24416,3111,48.922787,0.276549,0.24416,0,0
25,Eagle Rock,Northeast LA and the Eastside,31156,102867,841359,38.54,2.12,26.51,33.52,54.1,59.21,148,1925.344828,82.372332,1939.627668,7218,1942.307973,6572,0.022516,22.516,3.157696,4465,61.859241,12.779553,2.623186,9.736802,2.373677
26,East Hollywood,Central LA,61107,50415,752727,28.84,3.76,17.24,52.66,9.11,37.91,66,1922.532258,91.179395,1930.820605,1969,1928.643089,1697,0.038417,38.417,3.674191,1619,82.224479,20.372526,3.062106,18.044237,2.946765
27,Echo Park,Central LA,33628,83042,913813,36.9,3.13,13.87,48.48,26.79,52.58,242,1919.493506,88.837174,1933.162826,3929,1933.998815,3378,0.07126,71.26,4.280275,2964,75.439043,41.224971,3.743012,30.035336,3.435126
28,El Sereno,Northeast LA and the Eastside,38892,66765,626530,18.02,2.77,11.63,76.76,49.45,32.66,66,1930.606061,77.826352,1944.173648,6908,1943.716648,6115,0.010791,10.791,2.467368,3078,44.557035,4.578156,1.718858,6.213211,1.975914
29,Elysian Park,Central LA,2345,76558,702899,21.41,3.11,48.32,29.13,15.26,40.67,7,1916.714286,89.610656,1932.389344,247,1934.340909,220,0.031818,31.818,3.490983,174,70.445344,22.727273,3.166625,9.090909,2.311635
30,Elysian Valley,Central LA,6126,71985,651338,22.79,1.21,25.61,57.57,46.77,40.87,16,1923.6875,82.647664,1939.352336,1268,1940.379982,1129,0.014172,14.172,2.719441,893,70.425868,9.743136,2.374267,4.428698,1.691699
31,Encino,San Fernando Valley & The Verdugos,46092,116505,1121300,72.34,3.58,7.74,12.63,60.56,67.41,32,1957.65625,57.321268,1964.678732,14698,1966.159102,12690,0.002522,2.522,1.258935,189,1.285889,1.576044,0.946255,0.945626,0.665584
32,Exposition Park,South LA,33403,46497,618240,10.12,20.95,6.57,64.98,28.09,22.81,45,1914.977273,100.083459,1921.916541,3338,1925.718917,3181,0.014129,14.129,2.716595,3024,90.59317,8.477237,2.248893,5.651491,1.894841
33,Fairfax,Central LA,12566,111409,1494264,76.61,3.05,6.42,9.95,30.46,73.8,136,1931.703704,82.188343,1939.811657,2078,1939.874652,1797,0.074195,74.195,4.320089,1684,81.039461,61.102019,4.128778,13.09329,2.645699
34,Florence,South LA,51427,44821,456865,8.5,16.89,0.48,80.11,30.33,12.64,12,1940.909091,86.239321,1935.760679,5248,1934.867451,4579,0.002621,2.621,1.286656,4083,77.801067,2.402271,1.224443,0.218388,0.197529
35,Glassell Park,Northeast LA and the Eastside,21611,81144,792806,28.11,1.91,19.14,55.24,44.33,46.89,57,1932.839286,74.648429,1947.351571,3695,1945.248654,3158,0.018044,18.044,2.946736,1828,49.47226,9.18012,2.320437,8.863564,2.288848
36,Gramercy Park,South LA,10487,72460,577186,3.97,66.95,0.82,26.34,59.33,31.36,14,1930.071429,83.75524,1938.24476,2958,1943.448065,2947,0.004751,4.751,1.749303,1621,54.800541,2.714625,1.312278,2.035969,1.110531
37,Granada Hills,San Fernando Valley & The Verdugos,55253,104706,657263,47.3,3.27,17.84,32.49,70.77,52.09,7,1952.571429,58.640073,1963.359927,14828,1962.611504,13143,0.000533,0.533,0.426968,154,1.038576,0.380431,0.322396,0.152172,0.141649
38,Green Meadows,South LA,34839,49468,439281,7.52,24.11,0.46,72.77,42.96,14.69,7,1937.571429,77.310561,1944.689439,5257,1944.548039,4611,0.001518,1.518,0.923508,2281,43.389766,1.518109,0.923508,0,0
39,Griffith Park,Central LA,41,0,0,46.34,12.2,7.32,34.15,50,44.45,1,1923,69.62963,1952.37037,27,1954.826087,23,0.043478,43.478,3.795001,13,48.148148,43.478261,3.795001,0,0
40,Hancock Park,Central LA,10368,127512,1763186,69.47,3.84,13.49,8.77,45.58,75.78,124,1927.909836,83.890753,1938.109247,2684,1945.30153,2488,0.049779,49.779,3.927487,2008,74.813711,43.757527,3.80126,6.021678,1.949002
41,Hansen Dam,San Fernando Valley & The Verdugos,61,200001,875000,44.26,6.56,9.84,39.34,92.31,48.84,0,,41.666667,1980.333333,21,1967.333333,12,0,0,0,0,0,0,0,0,0
42,Harbor City,The Harbor,25348,74741,618975,23.63,11.44,20.74,47.1,45.97,40.84,3,1925.333333,51.889096,1970.110904,4294,1961.689146,2848,0.001053,1.053,0.719483,301,7.009781,0.351124,0.300937,0.702247,0.531949
